Year,UID,Question,Categories,Unit,Answer Type,Asked of,Age range,Multiple choice options
1980,1980_H15a,Land area,Housing+,Household,CC,All respondents,,"City lot/under 1 acre, 1 to 9 acres, 10 or more acres"
1980,1980_H15b,Farm products sales last year,Housing+,Household,CC,All respondents,,"Less than $50, $50 to $249, $250 to $599, $600 to $999, $1K to $2.5K, $2.5K or more"
1980,1980_H16,Water supply,Housing+,Household,CC,All respondents,,"Public/private system, Individual well (drilled), Individual well (dug), Other"
1980,1980_H17,Sewer,Housing+,Household,CC,All respondents,,"Yes, No (septic), No (other)"
1980,1980_H18,Year built,Housing+,Household,CC,All respondents,,"1979 or 1980, 1975 to 1978, 1970 to 1974, 1960 to 1969, 1950 to 1959, 1940 to 1949, 1939 or earlier"
1980,1980_H19,Year moved in,Housing+,Household,CC,All respondents,,"1979 or 1980, 1975 to 1978, 1970 to 1974, 1960 to 1969, 1950 to 1959, 1949 or earlier, Always lived here"
1980,1980_H20,Heating,Housing+,Household,CC,All respondents,,"Steam/hot water, Central warm air, Electric (pump), Electric (other), Furnace, Room heater (flue), Room heater (no flue), Fireplaces, None"
1980,1980_H21a,Heating fuel,Housing+,Household,CC,All respondents,,"Gas (piped), Gas (bottled), Electric, Fuel oil, Coal, Wood, Other, None"
1980,1980_H21b,Water heating fuel,Housing+,Household,CC,All respondents,,"Gas (piped), Gas (bottled), Electric, Fuel oil, Coal, Wood, Other, None"
1980,1980_H21c,Cooking fuel,Housing+,Household,CC,All respondents,,"Gas (piped), Gas (bottled), Electric, Fuel oil, Coal, Wood, Other, None"
1980,1980_H22a,Monthly cost of electricity,Housing+,Household,FM,All respondents,,"Included in rent, Not used"
1980,1980_H22b,Monthly cost of gas,Housing+,Household,FM,All respondents,,"Included in rent, Not used"
1980,1980_H22c,Yearly cost of water,Housing+,Household,FM,All respondents,,Included in rent
1980,1980_H22d,Yearly cost of wood/coal/oil,Housing+,Household,FM,All respondents,,"Included in rent, Not used"
1980,1980_H23,Full kitchen,Housing+,Household,BN,All respondents,,
1980,1980_H24,number of bedrooms,Housing+,Household,CC,All respondents,,"None, 1, 2, 3, 4, 5 or more"
1980,1980_H25,Bathroom,Housing+,Household,CC,All respondents,,"None or half only, 1 full, 1 full plus half bath(s), 2 or more full"
1980,1980_H26,Telephone,Housing+,Household,BN,All respondents,,
1980,1980_H27,Air conditioning,Housing+,Household,CC,All respondents,,"Yes (central), Yes (1 unit), Yes (2 or more units), No"
1980,1980_H28,number of automobiles here,Housing+,Household,CC,All respondents,,"None, 1, 2, 3 or more"
1980,1980_H29,Vans or trucks here,Housing+,Household,CC,All respondents,,"None, 1, 2, 3 or more"
1980,1980_H30,Taxes last year,Housing+,Household,FM,"Owner occupied, less than 10 acres, no commercial",,
1980,1980_H31,Insurance premium,Housing+,Household,FM,"Owner occupied, less than 10 acres, no commercial",,
1980,1980_H32a,Mortgage or contract,Housing+,Household,CC,"Owner occupied, less than 10 acres, no commercial",,"Yes (mortgage), Yes (contract), No"
1980,1980_H32b,Second mortgage,Housing+,Household,BN,"Owner occupied, less than 10 acres, no commercial",,
1980,1980_H32c,Mortgage payment amount,Housing+,Household,FM,"Owner occupied, less than 10 acres, no commercial",,
1980,1980_H32d,Mortgage includes real estate taxes,Housing+,Household,BN,"Owner occupied, less than 10 acres, no commercial",,
1980,1980_H32e,Mortgage includes insurance,Housing+,Household,BN,"Owner occupied, less than 10 acres, no commercial",,
1990,1990_H1,Any additional people,Housing+,Household,BN,,,
1990,1990_H2,Type of structure,Housing+,Household,CC,,,"Mobile home/trailer, One-family (detached), One-family (attached), 2-family building, 3- or 4-family building, 5- to 9-family building, 10- to 19-family building, 20- to 49-family building, 50- or more family building, Boat/tent/van"
1990,1990_H3,number of rooms,Housing+,Household,CC,,,"1 ,2 ,3,4,5,6,7,8,9 or more"
1990,1990_H4,Rent or own,Housing+,Household,CC,,,"Owned (mortage), Owned (free and clear), Rented, Occupied without rent"
1990,1990_H5a,Ten or more acres,Housing+,Household,BN,,,
1990,1990_H5b,Commercial use,Housing+,Household,BN,,,
1990,1990_H6,Value of real estate,Housing+,Household,CC,,,"Under $10K, $10K to $15K,$15K to $20K,$20K to $25K,$25K to $30K,$30K to $35K,$35K to $40K,$40K to $45K,$45K to $50K,$50K to $55K,$55K to $60K,$60K to $65K,$65K to $70K,$70K to $75K,$75K to $80K,$80K to $90K,$90K to $100K,$100K to $125K,$125K to $150K,$150K to $175K,$175K to $200K,$200K to $250K,$250K to $300K,$300K to $400K,$400K to $500K, $500K or more"
1990,1990_H7a,Monthly rent,Housing+,Household,CC,,,"Under $80, $80 to $99, $100 to $124, $125 to $149, $150 to $174, $175 to $199, $200 to $224, $225 to $249, $250 to $274, $275 to $299, $300 to $324, $325 to $349, $350 to $374, $375 to $399, $400 to $424, $425 to $449, $450 to $474, $475 to $499, $500 to $524, $525 to $549, $550 to $599, $600 to $649, $650 to $699, $700 to $749, $750 to $999, $1K or more"
1990,1990_H7b,Rent includes meals,Housing+,Household,BN,,,
1990,1990_H8,Year moved in,Housing+,Household,CC,,,"1989 to 1990, 1985 to 1988, 1980 to 1984, 1970 to 1979, 1960 to 1969, 1959 or earlier"
1990,1990_H9,number of bedrooms,Housing+,Household,CC,,,"None, 1, 2,3 ,4,5 or more"
1990,1990_H10,Full plumbing,Housing+,Household,BN,,,
1990,1990_H11,Full kitchen,Housing+,Household,BN,,,
1990,1990_H12,Telephone,Housing+,Household,BN,,,
1990,1990_H13,number of automobiles here,Housing+,Household,CC,,,"None, 1, 2, 3, 4, 5, 6, 7 or more"
1990,1990_H14,Heating fuel,Housing+,Household,CC,,,"Gas (piped), Gas (bottled), Electric, Fuel oil, Coal, Wood, Solar, Other, None"
1990,1990_H15,Water supply,Housing+,Household,CC,,,"Public/private system, Individual well (drilled), Individual well (dug), Other"
1990,1990_H16,Sewer,Housing+,Household,CC,,,"Yes, No (septic), No (other)"
1990,1990_H17,Year built,Housing+,Household,CC,,,"1989 or 1990, 1985 to 1988, 1980 to 1984, 1970 to 1979, 1960 to 1969, 1950 to 1959, 1940 to 1949, 1939 or earlier, Don't know"
1990,1990_H18,Condo,Housing+,Household,BN,,,
1990,1990_H19a,Under 1 acre,Housing+,Household,BN,Non-apartment buildings,,
1990,1990_H19b,Farm products sales last year,Housing+,Household,CC,Non-apartment buildings,,"None, up to $1K, $1K to $2.5K, $2.5K to $5K, $5K to $10K, $10K or more"
1990,1990_H20a,Yearly cost of electricity,Housing+,Household,FM,,,"Included in rent, No charge/not used"
1990,1990_H20b,Yearly cost of gas,Housing+,Household,FM,,,"Included in rent, No charge/not used"
1990,1990_H20c,Yearly cost of water,Housing+,Household,FM,,,"Included in rent, No charge"
1990,1990_H20d,Yearly cost of wood/coal/oil,Housing+,Household,FM,,,"Included in rent, No charge/not used"
1990,1990_H21,Taxes last year,Housing+,Household,FM,Owner occupied,,
1990,1990_H22,Insurance premium,Housing+,Household,FM,Owner occupied,,
1990,1990_H23a,Mortgage or contract,Housing+,Household,CC,Owner occupied,,"Yes (mortgage), Yes (contract), No"
1990,1990_H23b,Mortgage payment amount,Housing+,Household,FM,Owner occupied,,
1990,1990_H23c,Mortgage includes real estate taxes,Housing+,Household,BN,Owner occupied,,
1990,1990_H23d,Mortgage includes insurance,Housing+,Household,BN,Owner occupied,,
1990,1990_H24a,Second mortgage,Housing+,Household,BN,Owner occupied,,
1990,1990_H24b,Second mortgage payment amount,Housing+,Household,FM,Owner occupied,,
1990,1990_H25,Condo fee,Housing+,Household,FM,"Owner occupied, condo",,
1990,1990_H26,Mobile home fees,Housing+,Household,FM,"Owner occupied, mobile home",,
2000,2000_H33,Rent or own,Housing+,Household,CC,,,"Owned (mortgage), Owned (free and clear), Rented, Occupied without rent"
2000,2000_H34,Type of structure,Housing+,Household,CC,,,"Mobile home/trailer, One-family (detached), One-family (attached), 2-family building, 3- or 4-family building, 5- to 9-family building, 10- to 19-family building, 20- to 49-family building, 50- or more family building, Boat/RV/van"
2000,2000_H35,Year built,Housing+,Household,CC,,,"1999 or 2000, 1995 to 1998, 1990 to 1994, 1980 to 1989, 1970 to 1979, 1960 to 1969, 1950 to 1959, 1940 to 1949, 1939 or earlier"
2000,2000_H36,Year moved in,Housing+,Household,CC,,,"1999 or 2000, 1995 to 1998, 1990 to 1994, 1980 to 1989, 1970 to 1979, 1969 or earlier"
2000,2000_H37,number of rooms,Housing+,Household,CC,,,"1, 2, 3, 4, 5, 6, 7, 8, 9 or more"
2000,2000_H38,number of bedrooms,Housing+,Household,CC,,,"None, 1, 2, 3, 4, 5 or more"
2000,2000_H39,Full plumbing,Housing+,Household,BN,,,
2000,2000_H40,Full kitchen,Housing+,Household,BN,,,
2000,2000_H41,Telephone,Housing+,Household,BN,,,
2000,2000_H42,Heating fuel,Housing+,Household,CC,,,"Gas (piped), Gas (bottled), Electric, Fuel oil, Coal, Wood, Solar, Other, None"
2000,2000_H43,number of automobiles here,Housing+,Household,CC,,,"None, 1, 2,3 ,4 ,5 6 or more"
2000,2000_H44a,Commercial use,Housing+,Household,BN,One-family/mobile home,,
2000,2000_H44b,Land area,Housing+,Household,CC,,,"Less than 1 acre, 1 to 9.9 acres, 10 or more acres"
2000,2000_H44c,Farm products sales last year,Housing+,Household,CC,,,"None, $1 to $999, $1K to $2.5K, $2.5K to $5K, $5K to $10K, $10K or more"
2000,2000_H45a,Yearly cost of electricity,Housing+,Household,FM,,,"Included in rent, No charge/not used"
2000,2000_H45b,Yearly cost of gas,Housing+,Household,FM,,,"Included in rent, No charge/not used"
2000,2000_H45c,Yearly cost of water,Housing+,Household,FM,,,"Included in rent, No charge"
2000,2000_H45d,Yearly cost of wood/coal/oil,Housing+,Household,FM,,,"Included in rent, No charge/not used"
2000,2000_H46a,Monthly rent,Housing+,Household,FM,Renter occupied,,
2000,2000_H46b,Rent includes meals,Housing+,Household,BN,Renter occupied,,
2000,2000_H47a,Mortgage or contract,Housing+,Household,CC,Owner occupied,,"Yes (mortgage), Yes (contract), No"
2000,2000_H47b,Mortgage payment amount,Housing+,Household,FM,,,
2000,2000_H47c,Mortgage includes real estate taxes,Housing+,Household,BN,,,
2000,2000_H47d,Mortgage includes insurance,Housing+,Household,BN,,,
2000,2000_H48a,Second mortgage,Housing+,Household,CC,,,"Yes (mortgage), Yes (home equity loan), No"
2000,2000_H48b,Second mortgage payment amount,Housing+,Household,FM,,,
2000,2000_H49,Taxes last year,Housing+,Household,FM,,,
2000,2000_H50,Insurance premium,Housing+,Household,FM,,,
2000,2000_H51,Value of real estate,Housing+,Household,CC,,,"Under $10K, $10K to $15K,$15K to $20K,$20K to $25K,$25K to $30K,$30K to $35K,$35K to $40K,$40K to $50K,$50K to $60K,$60K to $70K,$70K to $80K,$80K to $90K,$90K to $100K,$100K to $125K,$125K to $150K,$150K to $175K,$175K to $200K,$200K to $250K,$250K to $300K,$300K to $400K,$400K to $500K,$500K to $750K,$750K to $1M, $1M or more"
2000,2000_H52,Condo fee,Housing+,Household,FM,Condo,,
2000,2000_H53a,Installment loan,Housing+,Household,BN,Mobile home,,
2000,2000_H53b,Mobile home fees,Housing+,Household,FM,Mobile home,,
