index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
570,1984,college,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Texas Longhorns,"Austin, TX",Oklahoma State Cowboys,"Stillwater, OK",Arizona State Sun Devils,"Metro Phoenix, AZ"
571,1984,pro,MLB,Detroit Tigers,"Metro Detroit, MI",San Diego Padres,"San Diego, CA",Kansas City Royals,"Kansas City, MO",Chicago Cubs,"Chicago, IL"
572,1984,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC"
573,1984,college,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Stanford Cardinal,"San Francisco Bay Area, CA",Pacific Tigers,"Stockton, CA",San Jose State Spartans,"San Jose-Santa Clara, CA"
574,1984,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Massachusetts Minutemen,"Springfield, MA",California Golden Bears,"San Francisco Bay Area, CA"
575,1985,college,Football (M),Brigham Young Cougars,"Provo, UT",,,,,,
576,1985,college,Football (M),Montana State Bobcats,"Bozeman, MT",Louisiana Tech Bulldogs,"Monroe, LA",,,,
577,1985,pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Miami Dolphins,"Greater Miami Area, FL",Pittsburgh Steelers,"Pittsburgh, PA",Chicago Bears,"Chicago, IL"
578,1985,college,Basketball (M),Villanova Wildcats,"Greater Philadelphia, PA",Georgetown Hoyas,"Washington, DC Metro Area",St. John's Red Storm,New York Metro Area,,
579,1985,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA"
580,1985,college,Basketball (W),Old Dominion Monarchs,"Norfolk, VA",Georgia Bulldogs,"Athens, GA",Western Kentucky Hilltoppers,"Bowling Green, KY",Louisiana-Monroe Warhawks,"Monroe, LA"
581,1985,pro,NHL,Edmonton Oilers,"Edmonton, AB",Philadelphia Flyers,"Greater Philadelphia, PA",Chicago Blackhawks,"Chicago, IL",Quebec Nordiques,"Quebec City, QC"
582,1985,college,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Texas Longhorns,"Austin, TX",Arkansas Razorbacks,"Northwest Arkansas, AR",Mississippi State Bulldogs,"Starkville, MS"
583,1985,pro,MLB,Kansas City Royals,"Kansas City, MO",St. Louis Cardinals,"St. Louis, MO",Toronto Blue Jays,"Toronto, ON",Los Angeles Dodgers,"Greater Los Angeles, CA"
584,1985,pro,CFL,BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Montreal Concordes,"Montreal, QC"
585,1985,college,Volleyball (W),Pacific Tigers,"Stockton, CA",Stanford Cardinal,"San Francisco Bay Area, CA",South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA"
586,1985,college,Soccer (W),George Mason Patriots,"Washington, DC Metro Area",North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",Massachusetts Minutemen,"Springfield, MA"
587,1986,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
588,1986,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Furman Paladins,"Greenville, SC",,,,
589,1986,pro,NFL,Chicago Bears,"Chicago, IL",New England Patriots,"Greater Boston, MA",Miami Dolphins,"Greater Miami Area, FL",Los Angeles Rams,"Greater Los Angeles, CA"
590,1986,college,Basketball (M),Louisville Cardinals,"Louisville, KY",Duke Blue Devils,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA",Kansas Jayhawks,"Lawrence, KS"
591,1986,pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI"
592,1986,college,Basketball (W),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Western Kentucky Hilltoppers,"Bowling Green, KY",Tennessee Volunteers,"Knoxville, TN"
593,1986,pro,NHL,Montreal Canadiens,"Montreal, QC",Calgary Flames,"Calgary, AB",St. Louis Blues,"St. Louis, MO",New York Rangers,New York Metro Area
594,1986,college,Baseball (M),Arizona Wildcats,"Tucson, AZ",Florida State Seminoles,"Tallahassee, FL",Miami Hurricanes,"Greater Miami Area, FL",Oklahoma State Cowboys,"Stillwater, OK"
595,1986,pro,MLB,New York Mets,New York Metro Area,Boston Red Sox,"Greater Boston, MA",California Angels,"Greater Los Angeles, CA",Houston Astros,"Houston, TX"
596,1986,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC",Toronto Argonauts,"Toronto, ON"
597,1986,college,Volleyball (W),Pacific Tigers,"Stockton, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",Stanford Cardinal,"San Francisco Bay Area, CA"
598,1986,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA"
599,1987,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Arkansas State Red Wolves,ERROR,,,,
600,1987,college,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,
601,1987,pro,NFL,New York Giants,New York Metro Area,Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Washington Redskins,"Washington, DC Metro Area"
602,1987,college,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Syracuse Orange,"Syracuse, NY",Nevada-Las Vegas Rebels,"Las Vegas, NV",Providence Friars,"Providence, RI"
603,1987,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Louisiana Tech Bulldogs,"Monroe, LA",Texas Longhorns,"Austin, TX",Long Beach State 49ers,"Greater Los Angeles, CA"
604,1987,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Seattle SuperSonics,"Seattle,WA",Detroit Pistons,"Metro Detroit, MI"
605,1987,pro,NHL,Edmonton Oilers,"Edmonton, AB",Philadelphia Flyers,"Greater Philadelphia, PA",Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC"
606,1987,college,Baseball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Oklahoma State Cowboys,"Stillwater, OK",Texas Longhorns,"Austin, TX",LSU Fighting Tigers,"Baton Rouge, LA"
607,1987,pro,MLB,Minnesota Twins,"Twin Cities, MN",St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",San Francisco Giants,"San Francisco Bay Area, CA"
608,1987,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",BC Lions,"Vancouver, BC"
609,1987,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Massachusetts Minutemen,"Springfield, MA",Texas Longhorns,"Austin, TX",Central Florida Knights,"Greater Orlando, FL"
610,1987,college,Volleyball (W),Hawaii Warriors,"Honolulu, HI",Stanford Cardinal,"San Francisco Bay Area, CA",Illinois Fighting Illini,"Champaign-Urbana, IL",Texas Longhorns,"Austin, TX"
611,1988,college,Football (M),Louisiana-Monroe Warhawks,"Monroe, LA",Marshall Thundering Herd,"Huntington, WV",,,,
612,1988,college,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,
613,1988,pro,NFL,Washington Redskins,"Washington, DC Metro Area",Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Minnesota Vikings,"Twin Cities, MN"
614,1988,college,Basketball (M),Kansas Jayhawks,"Lawrence, KS",Oklahoma Sooners,"Oklahoma City, OK",Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ"
615,1988,college,Basketball (W),Louisiana Tech Bulldogs,"Monroe, LA",Auburn Tigers,"Auburn, AL",Long Beach State 49ers,"Greater Los Angeles, CA",Tennessee Volunteers,"Knoxville, TN"
616,1988,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Dallas Mavericks,"Dallas-Fort Worth, TX",Boston Celtics,"Greater Boston, MA"
617,1988,pro,NHL,Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",New Jersey Devils,New York Metro Area
618,1988,college,Baseball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Wichita State Shockers,"Wichita, KS",Cal State Fullerton Titans,"Greater Los Angeles, CA"
619,1988,pro,MLB,Los Angeles Dodgers,"Greater Los Angeles, CA",Oakland Athletics,"San Francisco Bay Area, CA",Boston Red Sox,"Greater Boston, MA",New York Mets,New York Metro Area
620,1988,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",BC Lions,"Vancouver, BC",Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB"
621,1988,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",North Carolina State Wolfpack,"Greater Raleigh, NC",California Golden Bears,"San Francisco Bay Area, CA",Wisconsin Badgers,"Madison, WI"
622,1988,college,Volleyball (W),Texas Longhorns,"Austin, TX",Hawaii Warriors,"Honolulu, HI",Illinois Fighting Illini,"Champaign-Urbana, IL",UCLA Bruins,"Greater Los Angeles, CA"
623,1989,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
624,1989,college,Football (M),Furman Paladins,"Greenville, SC",Georgia Southern Eagles,"Statesboro, GA",,,,
625,1989,pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Cincinnati Bengals,"Cincinnati, OH",Buffalo Bills,"Buffalo, NY",Chicago Bears,"Chicago, IL"
626,1989,college,Basketball (M),Michigan Wolverines,"Ann Arbor, MI",Seton Hall Pirates,"South Orange, NJ",Illinois Fighting Illini,"Champaign-Urbana, IL",Duke Blue Devils,"Greater Raleigh, NC"
627,1989,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Auburn Tigers,"Auburn, AL",Louisiana Tech Bulldogs,"Monroe, LA",Maryland Terrapins,"Washington, DC Metro Area"
628,1989,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Phoenix Suns,"Metro Phoenix, AZ",Chicago Bulls,"Chicago, IL"
629,1989,pro,NHL,Calgary Flames,"Calgary, AB",Montreal Canadiens,"Montreal, QC",Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA"
630,1989,college,Baseball (M),Wichita State Shockers,"Wichita, KS",Texas Longhorns,"Austin, TX",Florida State Seminoles,"Tallahassee, FL",LSU Fighting Tigers,"Baton Rouge, LA"
631,1989,pro,MLB,Oakland Athletics,"San Francisco Bay Area, CA",San Francisco Giants,"San Francisco Bay Area, CA",Toronto Blue Jays,"Toronto, ON",Chicago Cubs,"Chicago, IL"
632,1989,pro,CFL,Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB"
633,1989,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",North Carolina State Wolfpack,"Greater Raleigh, NC",Santa Clara Broncos,"San Jose-Santa Clara, CA"
634,1989,college,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas-Arlington Mavericks,"Dallas-Fort Worth, TX",UCLA Bruins,"Greater Los Angeles, CA"
635,1990,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Stephen F. Austin Lumberjacks,"Nacogdoches, TX",,,,
636,1990,college,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,
637,1990,pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA"
638,1990,college,Basketball (M),Nevada-Las Vegas Rebels,"Las Vegas, NV",Duke Blue Devils,"Greater Raleigh, NC",Georgia Tech Yellow Jackets,"Atlanta, GA",Arkansas Razorbacks,"Northwest Arkansas, AR"
639,1990,college,Basketball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Auburn Tigers,"Auburn, AL",Virginia Cavaliers,"Charlottesville, VA",Louisiana Tech Bulldogs,"Monroe, LA"
640,1990,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR",Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ"
641,1990,pro,NHL,Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",Chicago Blackhawks,"Chicago, IL",Washington Capitals,"Washington, DC Metro Area"
642,1990,college,Baseball (M),Georgia Bulldogs,"Athens, GA",Oklahoma State Cowboys,"Stillwater, OK",Stanford Cardinal,"San Francisco Bay Area, CA",LSU Fighting Tigers,"Baton Rouge, LA"
643,1990,pro,MLB,Cincinnati Reds,"Cincinnati, OH",Oakland Athletics,"San Francisco Bay Area, CA",Boston Red Sox,"Greater Boston, MA",Pittsburgh Pirates,"Pittsburgh, PA"
644,1990,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON"
645,1990,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Colorado College Tigers,"Colorado Springs, CO",Santa Clara Broncos,"San Jose-Santa Clara, CA"
646,1990,college,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Pacific Tigers,"Stockton, CA",LSU Fighting Tigers,"Baton Rouge, LA",Nebraska Cornhuskers,"Lincoln, NE"
647,1991,college,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,
648,1991,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Nevada Wolf Pack,"Reno, NV",,,,
649,1991,college,Football (M),Colorado Buffaloes,"Boulder, CO",,,,,,
650,1991,pro,NFL,New York Giants,New York Metro Area,Buffalo Bills,"Buffalo, NY",Los Angeles Raiders,"Greater Los Angeles, CA",San Francisco 49ers,"San Francisco Bay Area, CA"
651,1991,college,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Kansas Jayhawks,"Lawrence, KS",Nevada-Las Vegas Rebels,"Las Vegas, NV",North Carolina Tar Heels,"Greater Raleigh, NC"
652,1991,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Virginia Cavaliers,"Charlottesville, VA",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA"
653,1991,pro,NBA,Chicago Bulls,"Chicago, IL",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR"
654,1991,pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Minnesota North Stars,"Twin Cities, MN",Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA"
655,1991,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Wichita State Shockers,"Wichita, KS",Florida Gators,"Gainesville, FL",Creighton Bluejays,"Omaha, NE"
656,1991,pro,MLB,Minnesota Twins,"Twin Cities, MN",Atlanta Braves,"Atlanta, GA",Toronto Blue Jays,"Toronto, ON",Pittsburgh Pirates,"Pittsburgh, PA"
657,1991,pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB"
658,1991,college,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Long Beach State 49ers,"Greater Los Angeles, CA",LSU Fighting Tigers,"Baton Rouge, LA",Ohio State Buckeyes,"Columbus, OH"
659,1991,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Wisconsin Badgers,"Madison, WI",Colorado College Tigers,"Colorado Springs, CO",Virginia Cavaliers,"Charlottesville, VA"
660,1992,college,Football (M),Youngstown State Penguins,"Youngstown, OH",Marshall Thundering Herd,"Huntington, WV",,,,
661,1992,college,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,
662,1992,college,Football (M),Washington Huskies,"Seattle,WA",,,,,,
663,1992,pro,NFL,Washington Redskins,"Washington, DC Metro Area",Buffalo Bills,"Buffalo, NY",Denver Broncos,"Denver, CO",Detroit Lions,"Metro Detroit, MI"
664,1992,college,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",,,Indiana Hoosiers,"Bloomington, IN",Cincinnati Bearcats,"Cincinnati, OH"
665,1992,pro,NBA,Chicago Bulls,"Chicago, IL",Portland Trail Blazers,"Portland Metro Area, OR",Cleveland Cavaliers,"Cleveland, OH",Utah Jazz,"Salt Lake City, UT"
666,1992,college,Basketball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Western Kentucky Hilltoppers,"Bowling Green, KY",Missouri State University,ERROR,Virginia Cavaliers,"Charlottesville, VA"
667,1992,pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Chicago Blackhawks,"Chicago, IL",Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA"
668,1992,college,Baseball (M),Pepperdine Waves,"Greater Los Angeles, CA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Texas Longhorns,"Austin, TX"
669,1992,pro,MLB,Toronto Blue Jays,"Toronto, ON",Atlanta Braves,"Atlanta, GA",Oakland Athletics,"San Francisco Bay Area, CA",Pittsburgh Pirates,"Pittsburgh, PA"
670,1992,pro,CFL,Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON"
671,1992,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Duke Blue Devils,"Greater Raleigh, NC",Hartford Hawks,"Hartford, CT",Santa Clara Broncos,"San Jose-Santa Clara, CA"
672,1992,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Florida Gators,"Gainesville, FL"
673,1993,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
674,1993,college,Football (M),Marshall Thundering Herd,"Huntington, WV",Youngstown State Penguins,"Youngstown, OH",,,,
675,1993,pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Buffalo Bills,"Buffalo, NY",Miami Dolphins,"Greater Miami Area, FL",San Francisco 49ers,"San Francisco Bay Area, CA"
676,1993,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",,,Kansas Jayhawks,"Lawrence, KS",Kentucky Wildcats,"Lexington-Fayette, KY"
677,1993,pro,NBA,Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ",New York Knicks,New York Metro Area,Seattle SuperSonics,"Seattle,WA"
678,1993,college,Basketball (W),Texas Tech Red Raiders,"Lubbock, TX",Ohio State Buckeyes,"Columbus, OH",Iowa Hawkeyes,"Iowa City, IA",Vanderbilt Commodores,"Nashville, TN"
679,1993,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Wichita State Shockers,"Wichita, KS",Long Beach State 49ers,"Greater Los Angeles, CA",Oklahoma State Cowboys,"Stillwater, OK"
680,1993,pro,NHL,Montreal Canadiens,"Montreal, QC",Los Angeles Kings,"Greater Los Angeles, CA",Toronto Maple Leafs,"Toronto, ON",New York Islanders,New York Metro Area
681,1993,pro,MLB,Toronto Blue Jays,"Toronto, ON",Philadelphia Phillies,"Greater Philadelphia, PA",Chicago White Sox,"Chicago, IL",Atlanta Braves,"Atlanta, GA"
682,1993,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON"
683,1993,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA",Stanford Cardinal,"San Francisco Bay Area, CA"
684,1993,college,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Brigham Young Cougars,"Provo, UT",Florida Gators,"Gainesville, FL"
685,1994,college,Football (M),Florida State Seminoles,"Tallahassee, FL",,,,,,
686,1994,college,Football (M),Youngstown State Penguins,"Youngstown, OH",Marshall Thundering Herd,"Huntington, WV",,,,
687,1994,pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Buffalo Bills,"Buffalo, NY",Kansas City Chiefs,"Kansas City, MO",San Francisco 49ers,"San Francisco Bay Area, CA"
688,1994,college,Basketball (M),Arkansas Razorbacks,"Northwest Arkansas, AR",Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ",Florida Gators,"Gainesville, FL"
689,1994,college,Basketball (W),North Carolina Tar Heels,"Greater Raleigh, NC",Louisiana Tech Bulldogs,"Monroe, LA",Purdue Boilermakers,"West Lafayette, IN",Alabama Crimson Tide,"Tuscaloosa, AL"
690,1994,pro,NBA,Houston Rockets,"Houston, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Utah Jazz,"Salt Lake City, UT"
691,1994,college,Baseball (M),Oklahoma Sooners,"Oklahoma City, OK",Georgia Tech Yellow Jackets,"Atlanta, GA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ"
692,1994,pro,NHL,New York Rangers,New York Metro Area,Vancouver Canucks,"Vancouver, BC",Toronto Maple Leafs,"Toronto, ON",New Jersey Devils,New York Metro Area
694,1994,pro,CFL,BC Lions,"Vancouver, BC",Baltimore Stallions,"Baltimore, MD",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB"
695,1994,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Connecticut Huskies,"Hartford, CT",Portland Pilots,"Portland Metro Area, OR"
696,1994,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Ohio State Buckeyes,"Columbus, OH"
697,1995,college,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,
698,1995,college,Football (M),Youngstown State Penguins,"Youngstown, OH",Boise State Broncos,"Boise City, ID",,,,
699,1995,pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",San Diego Chargers,"San Diego, CA",Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX"
700,1995,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Arkansas Razorbacks,"Northwest Arkansas, AR",Oklahoma State Cowboys,"Stillwater, OK",North Carolina Tar Heels,"Greater Raleigh, NC"
701,1995,pro,NBA,Houston Rockets,"Houston, TX",Orlando Magic,"Greater Orlando, FL",Indiana Pacers,"Indianapolis Metro Area, IN",San Antonio Spurs,"San Antonio, TX"
702,1995,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Stanford Cardinal,"San Francisco Bay Area, CA",Georgia Bulldogs,"Athens, GA"
703,1995,pro,NHL,New Jersey Devils,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI",Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA"
704,1995,college,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",USC Trojans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Tennessee Volunteers,"Knoxville, TN"
705,1995,pro,MLB,Atlanta Braves,"Atlanta, GA",Cleveland Indians,"Cleveland, OH",Seattle Mariners,"Seattle,WA",Cincinnati Reds,"Cincinnati, OH"
706,1995,pro,CFL,Baltimore Stallions,"Baltimore, MD",Calgary Stampeders,"Calgary, AB",Edmonton Eskimos,"Edmonton, AB",San Antonio Texans,"San Antonio, TX"
707,1995,college,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Michigan State Spartans,"East Lansing, MI"
708,1995,college,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR",North Carolina Tar Heels,"Greater Raleigh, NC",Saint Mary's Gaels,"San Francisco Bay Area, CA"
709,1996,college,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,
710,1996,college,Football (M),Montana Grizzlies,"Missoula, MT",Marshall Thundering Herd,"Huntington, WV",,,,
711,1996,pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Pittsburgh Steelers,"Pittsburgh, PA",Indianapolis Colts,"Indianapolis Metro Area, IN",Green Bay Packers,"Green Bay, WI"
712,1996,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Syracuse Orange,"Syracuse, NY",Mississippi State Bulldogs,"Starkville, MS",,
713,1996,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Georgia Bulldogs,"Athens, GA",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA"
714,1996,pro,NBA,Chicago Bulls,"Chicago, IL",Seattle SuperSonics,"Seattle,WA",Orlando Magic,"Greater Orlando, FL",Utah Jazz,"Salt Lake City, UT"
715,1996,pro,NHL,Colorado Avalanche,"Denver, CO",Florida Panthers,"Greater Miami Area, FL",Detroit Red Wings,"Metro Detroit, MI",Pittsburgh Penguins,"Pittsburgh, PA"
716,1996,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Miami Hurricanes,"Greater Miami Area, FL",Clemson Tigers,"Greenville, SC",Florida Gators,"Gainesville, FL"
717,1996,pro,MLS,D.C. United,"Washington, DC Metro Area",Los Angeles Galaxy,"Greater Los Angeles, CA",Kansas Ciy Wiz,"Kansas City, MO",Tampa Bay Mutiny,"Tampa Bay Area, FL"
718,1996,pro,MLB,New York Yankees,New York Metro Area,Atlanta Braves,"Atlanta, GA",Baltimore Orioles,"Baltimore, MD",St. Louis Cardinals,"St. Louis, MO"
719,1996,pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC"
720,1996,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA"
721,1996,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Hawaii Warriors,"Honolulu, HI",Nebraska Cornhuskers,"Lincoln, NE",Florida Gators,"Gainesville, FL"
722,1997,college,Football (M),Marshall Thundering Herd,"Huntington, WV",Montana Grizzlies,"Missoula, MT",,,,
723,1997,college,Football (M),Florida Gators,"Gainesville, FL",,,,,,
724,1997,pro,NFL,Green Bay Packers,"Green Bay, WI",New England Patriots,"Greater Boston, MA",Jacksonville Jaguars,"Jacksonville, FL",Carolina Panthers,"Charlotte Metro Area, NC"
