"schoolName","state","sanction","offense"
"WEST STOKES HIGH","NC","administrative warning","2nd"
"WEST STOKES HIGH","NC","isolation","2nd"
"NANTUCKET HIGH","MA","warning","1st"
"BASTROP H S","TX","isolation","Any"
"SYMMES VALLEY HIGH SCHOOL","OH","warning","1st"
"SYMMES VALLEY HIGH SCHOOL","OH","alternative school","5th"
"WELDON VALLEY HIGH SCHOOL","CO","Level II of the Discipline Code","2nd"
"SHADOW HILLS HIGH","CA","Behavior Intervention Services referral","3rd"
"SHADOW HILLS HIGH","CA","lunch detention","Any"
"LAUREL HIGH SCHOOL","MT","warning","1st"
"HART HIGH SCHOOL","MI","kept from class","Any"
"DOVER HS","OK","in-school supervision","Any"
"JERICHO SENIOR HIGH SCHOOL","NY","removed from class","Any"
"NELSON COUNTY HIGH","VA","lunch detention","Any"
"MORENCI HIGH SCHOOL","AZ","warning","1st"
"WESTON RANCH HIGH","CA","warning","1st"
"LANDER VALLEY HIGH SCHOOL","WY","warning","1st"
"LANDER VALLEY HIGH SCHOOL","WY","","Any"
"SKIATOOK HS","OK","warning","1st"
"SKIATOOK HS","OK","warning","2nd"
"NISKAYUNA HIGH SCHOOL","NY","asked to leave school grounds","Any"
"EMPORIA HIGH","KS","warning","1st"
"EMPORIA HIGH","KS","disciplinary referral","2nd"
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH","parent teacher meeting","Any"
"PIEDMONT HS","OK","warning","1st"
"PITTSFIELD HIGH SCHOOL","NH","day in Student Support Center","Any"
"DAVID PROUTY HIGH","MA","PM Suspension","3rd"
"BYRON NELSON H S","TX","spend day in special assignment classroom","Any"
"FRONTENAC SR. HIGH SCHOOL","KS","office referral","Any"
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","on-line discipline infraction","Any"
"ATASCADERO HIGH","CA","reasonable attempt at counseling","Any"
"KEYSTONE HIGH SCHOOL","OH","verbal warning","Any"
"WEST GRAND HIGH SCHOOL","CO","written warning","1st"
"WEST GRAND HIGH SCHOOL","CO","remaining in the administrative office","2nd"
"WEST GRAND HIGH SCHOOL","CO","parent teacher conference","2nd"
"THUNDER RIDGE HIGH SCHOOL","KS","warning","1st"
"THUNDER RIDGE HIGH SCHOOL","KS","parent student conference","2nd"
"COLCHESTER HIGH SCHOOL","VT","referred to administration","Any"
"MONTE VISTA HIGH","CA","handed a ""Fix-It"" ticket","Any"
"MONTE VISTA HIGH","CA","report to office between classes","Any"
"CENTURY HIGH","MD","administrative referral","Any"
"PERRY CENTRAL HIGH SCHOOL","MS","office referral","Any"
"CLEARWATER HIGH","MO","lunch detention","Any"
"HAMILTON HIGH SCHOOL","AZ","warning","Any"
"HAMILTON HIGH SCHOOL","AZ","parent conference","Any"
"PENTUCKET REGIONAL SR HIGH","MA","parent meeting","2nd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","parent meeting","5th"
"TEXAS H S","TX","warning","Any"
"DOUGLAS HIGH SCHOOL","MA","will remain in office or ISS if unable to obtain appropriate clothes ","Any"
"MEDFORD HIGH","MA","turn clothing inside out","Any"
"HAVERLING SENIOR HIGH SCHOOL","NY","attend Sunday school","Any"
"WHITE RIVER HIGH SCHOOL","WA","turn shirt inside-out","Any"
"CLEAR CREEK HIGH SCHOOL","CO","written warning","1st"
"CLEAR CREEK HIGH SCHOOL","CO","remain under administrator responsibility until appropriate clothing can be obtained and worn","2nd"
"CLEAR CREEK HIGH SCHOOL","CO","parent teacher conference","2nd"
"ALISO NIGUEL HIGH","CA","Afternoon School","Any"
"ALISO NIGUEL HIGH","CA","Behavior Contract","Any"
"ALISO NIGUEL HIGH","CA","Meet with Assistant Principal.","Any"
"GEORGE WASHINGTON HIGH SCHOOL","IA","make modifications","Any"
"TONASKET HIGH SCHOOL","WA","student must made appropriate corrections","Any"
"QUARTZ HILL HIGH","CA","warning","Any"
"QUARTZ HILL HIGH","CA","After School Work Program","Any"
"WRAY HIGH SCHOOL","CO","written warning","Any"
"WRAY HIGH SCHOOL","CO","remain in admin office for day","Any"
"WRAY HIGH SCHOOL","CO","parent conference","Any"
"PONCA CITY HS","OK","verbal warning","Any"
"PONCA CITY HS","OK","parent conference","Any"
"HILTON HIGH SCHOOL","NY","modify appearance to be compliant","Any"
"EAST SAC COUNTY HIGH SCHOOL","IA","make modifications","Any"
"SCOTTS VALLEY HIGH","CA","warning","Any"
"SCOTTS VALLEY HIGH","CA","clothing or accessories confiscated","Any"
"SCOTTS VALLEY HIGH","CA","sent home for a change of clothing","Any"
"AUBURN SENIOR HIGH","MA","alter appearance","Any"
"AUBURN HIGH","VA","confiscated items","Any"
"DEWITT HIGH SCHOOL","AR","sent home for clothes","Any"
"WHEELER HIGH SCHOOL","CT","parent admin meeting","Any"
"MARSHALLTOWN HIGH SCHOOL","IA","make modifications","Any"
"NORTHWEST CABARRUS HIGH","NC","Control Room","Any"
"NORTHWEST CABARRUS HIGH","NC","ASD","Any"
"EASTERN YORK HS","PA","cannot return to class until appropriate changes have been made","Any"
"WASHINGTON HS","OK","unexcused absence","Any"
"NORWOOD HIGH","MA","warning","Any"
"WASHBURN RURAL HIGH","KS","make changes","Any"
"CAMERON HIGH","MO","make modifications","Any"
"STRAFFORD HIGH","MO","parent conference","Any"
"QUINCY HIGH SCHOOL","WA","parent conference","Any"
"JENKS HS","OK","referral to assistant principal","1st"
"JENKS HS","OK","in study hall for the rest of the day","Any"
"MOUNTAIN RANGE HIGH SCHOOL","CO","warning"," 1st"
"MOUNTAIN RANGE HIGH SCHOOL","CO","parent and student sign policy","2nd"
"MOUNTAIN RANGE HIGH SCHOOL","CO","parent meeting","Any"
"CHARLESTON HIGH","MO","citation signed by parents","Any"
"HORNELL SENIOR HIGH SCHOOL","NY","students stay in office until appropriate clothes provided","Any"
"LAPINE SENIOR HIGH SCHOOL","OR","sent to office","1st"
"LAPINE SENIOR HIGH SCHOOL","OR","parent conference","3rd"
"NORTHLAND PINES HIGH","WI","referred to principal","Any"
"HOLCOMB HIGH","KS","confiscated items","Any"
